system:index,fdwb_nm,ggrphc_,mean,stdy_st,.geo
0000000000000000005e,PP2I2,Canada,-14634.571712268313,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.49541743008514,48.54205699130633],[-68.51439891211211,48.54026465757304],[-68.53186570140993,48.53503068939354],[-68.54642485379205,48.52677268662303],[-68.5569168606454,48.51614926946145],[-68.56250813103937,48.504007250989076],[-68.5627568509282,48.49131385961044],[-68.5576471340088,48.47907952246155],[-68.54758906539449,48.468277426065995],[-68.53338501571021,48.45976625944126],[-68.51616523062732,48.45422222368792],[-68.49729798937511,48.452085607432615],[-68.47828144273231,48.45352605611802],[-68.46062550576559,48.45842920167713],[-68.44573285144709,48.466405675555635],[-68.43478811138637,48.47682181571473],[-68.42866383792438,48.48884971218162],[-68.42785063108578,48.50153272984833],[-68.43241712016516,48.51386141095014],[-68.44200328489708,48.52485379243547],[-68.45584802695087,48.53363375671363],[-68.47284913772405,48.53950112138239],[-68.49165108374594,48.54198777933263],[-68.49541743008514,48.54205699130633]]]}"
0000000000000000005f,PP2I3,Canada,-14634.571712268313,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.49542634828725,48.54205699130633],[-68.51440783031424,48.54026465757304],[-68.53187461961204,48.53503068939354],[-68.54643377199416,48.52677268662303],[-68.55692577884751,48.51614926946145],[-68.56251704924149,48.504007250989076],[-68.56276576913031,48.49131385961044],[-68.5576560522109,48.47907952246155],[-68.5475979835966,48.468277426065995],[-68.53339393391232,48.45976625944126],[-68.51617414882945,48.45422222368792],[-68.4973069075772,48.45208560743261],[-68.47829036093444,48.45352605611803],[-68.4606344239677,48.45842920167712],[-68.44574176964922,48.466405675555635],[-68.43479702958848,48.47682181571472],[-68.42867275612649,48.48884971218162],[-68.4278595492879,48.50153272984833],[-68.43242603836727,48.51386141095014],[-68.4420122030992,48.52485379243547],[-68.45585694515299,48.53363375671363],[-68.47285805592615,48.53950112138239],[-68.49166000194803,48.54198777933263],[-68.49542634828725,48.54205699130633]]]}"
00000000000000000060,PP2I4,Canada,-14634.7041562125,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.49520785233562,48.54224873265164],[-68.51418940626314,48.54045639890782],[-68.53165626169852,48.53522243070004],[-68.54621546916343,48.52696442789236],[-68.55670751565391,48.51634101069629],[-68.56229880710085,48.50419899220292],[-68.5625475278169,48.49150560082332],[-68.55743779147434,48.479271263693754],[-68.54737968476778,48.46846916733182],[-68.53317558137269,48.45995800074446],[-68.51595573123159,48.45441396502065],[-68.49708841872695,48.45227734877781],[-68.47807180027056,48.45371779745476],[-68.46041579660543,48.45862094298707],[-68.44552308598408,48.466597416828854],[-68.4345783044891,48.47701355695268],[-68.42845400777375,48.48904145339678],[-68.42764079774638,48.5017244710603],[-68.43220730399639,48.51405315217953],[-68.44179350492816,48.525045533697444],[-68.45563829935017,48.53382549801321],[-68.4726394744897,48.539692862712826],[-68.49144149172888,48.54217952067751],[-68.49520785233562,48.54224873265164]]]}"
00000000000000000061,PP2M1,Canada,-14634.204647103743,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.49475748312923,48.54259208343275],[-68.51373916581078,48.540799749670086],[-68.5312061396803,48.53556578141168],[-68.54576544578327,48.52730777853741],[-68.55625756325293,48.516684361279616],[-68.5618488923999,48.50454234274864],[-68.5620976145973,48.49184895136728],[-68.55698784347321,48.47961461427235],[-68.54692966855396,48.468812517970576],[-68.53272546897759,48.46030135145019],[-68.51550550233517,48.45475731577925],[-68.49663806223717,48.452620699558736],[-68.47762131518243,48.45406114822051],[-68.45996519207887,48.45896429370488],[-68.44507238063466,48.466940767480864],[-68.43412752494233,48.477356907541555],[-68.4280031865867,48.489384803944866],[-68.42718997084908,48.502067821602665],[-68.43175650784694,48.51439650275308],[-68.44134277360261,48.52538888432936],[-68.45518766180165,48.53416884871243],[-68.47218895220357,48.540036213467296],[-68.49099109697329,48.542522871457884],[-68.49475748312923,48.54259208343275]]]}"
00000000000000000062,PP2M2,Canada,-14634.339697950381,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.49457465998604,48.54268126545382],[-68.51355637611059,48.54088893168626],[-68.53102338074255,48.5356549634147],[-68.54558271246613,48.52739696052313],[-68.55607484837216,48.51677354324931],[-68.56166618731146,48.50463152470858],[-68.56191490989364,48.491938133326755],[-68.55680512973527,48.47970379624082],[-68.54674693709823,48.46890169995467],[-68.53254271253944,48.46039053345167],[-68.51532271563657,48.45484649779446],[-68.49645524239702,48.452709881579764],[-68.47743846193973,48.45415033023759],[-68.45978230781282,48.4590534757095],[-68.44488947018056,48.467029949468404],[-68.43394459521596,48.47744608951269],[-68.42782024604453,48.489473985905406],[-68.42700702882371,48.50215700356173],[-68.43157357380812,48.514485684720235],[-68.44115985640138,48.52547806631168],[-68.45500476895837,48.53425803071223],[-68.47200608929894,48.54012539548144],[-68.49080826719387,48.54261205347876],[-68.49457465998604,48.54268126545382]]]}"
00000000000000000063,PP2M3,Canada,-14634.339697950381,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.49442305055024,48.54277936567699],[-68.51340480346227,48.54098703190405],[-68.53087184193313,48.535753063618024],[-68.54543120183949,48.52749506070743],[-68.55592335802562,48.51687164341597],[-68.56151470773655,48.50472962486449],[-68.56176343074198,48.49203623348217],[-68.55665364064585,48.47980189640612],[-68.54659542851914,48.468999800137176],[-68.53239117647952,48.46048863365331],[-68.51517114629002,48.4549445980112],[-68.49630363659459,48.45280798180288],[-68.4772868193943,48.454248430456374],[-68.45963063114151,48.45915157591459],[-68.44473776470224,48.46712804965469],[-68.43379286853805,48.477544189680934],[-68.42766850746918,48.48957208606198],[-68.42685528861684,48.502255103716685],[-68.43142184238651,48.51458378488411],[-68.4410081435012,48.52557616649222],[-68.45485308285207,48.534356130912016],[-68.47185443612531,48.54022349569701],[-68.49065665045816,48.54271015370172],[-68.49442305055024,48.54277936567699]]]}"
00000000000000000064,PP2M4,Canada,-14634.339697950381,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.49425806381124,48.54285962949596],[-68.51323984682227,48.54106729571861],[-68.53070691297965,48.53583332742073],[-68.54526629594476,48.527575324494585],[-68.5557584687238,48.51695190718869],[-68.56134982724791,48.50480988862841],[-68.56159855059963,48.492116497245696],[-68.55648875237259,48.47988216017774],[-68.5464305242997,48.46908006392286],[-68.53222624977566,48.46056889745464],[-68.51500619235148,48.45502486182491],[-68.49613865282838,48.45288824562179],[-68.47712180556546,48.454328694271744],[-68.45946558939141,48.459231839718754],[-68.44457269938263,48.46720831344347],[-68.43362778587323,48.47762445345496],[-68.42750341507005,48.48965234982648],[-68.42669019488282,48.50233536747982],[-68.43125675584047,48.51466404865454],[-68.44084307210912,48.52565643027631],[-68.45468803338238,48.53443639471183],[-68.47168941360067,48.54030375950974],[-68.4904916577465,48.54279041752051],[-68.49425806381124,48.54285962949596]]]}"
00000000000000000072,SF1I1,Canada,-14092.184620946085,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.23079653716945,48.65734704904319],[-68.24982138852114,48.65555470896874],[-68.26732807098334,48.65032072374949],[-68.28192044842145,48.64206269856955],[-68.29243636371008,48.63143926063286],[-68.29804033283015,48.61929722950665],[-68.29828955159849,48.60660383753965],[-68.29316811885955,48.59436951204292],[-68.28308707358265,48.583567435898615],[-68.26885062641607,48.57505629180751],[-68.25159159933301,48.56951227384861],[-68.23268137988197,48.56737566510721],[-68.21362151653699,48.56881610868687],[-68.19592534824162,48.57371923810994],[-68.1809987329839,48.581695689846654],[-68.17002900041713,48.59211180875659],[-68.16389070084286,48.604139691493394],[-68.16307557048886,48.616822707237596],[-68.16765241652756,48.62915139883289],[-68.17726041636297,48.64014379995894],[-68.19113674607627,48.648923786893846],[-68.20817668164446,48.65479117015518],[-68.2270215848734,48.657277836819816],[-68.23079653716945,48.65734704904319]]]}"
00000000000000000073,SF1I2,Canada,-14091.890296453974,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.23107300143477,48.65726678522421],[-68.2500978224974,48.65547444515419],[-68.2676044770983,48.65024045994683],[-68.28219683133213,48.64198243478254],[-68.29271272992322,48.63135899686034],[-68.2983166901746,48.61921696574296],[-68.2985659085946,48.606523573776364],[-68.293444484038,48.5942892482715],[-68.28336345480795,48.583487172113074],[-68.26912703026767,48.57497602800625],[-68.25186803059104,48.56943201003492],[-68.23295784115577,48.56729540128828],[-68.21389800806297,48.568735844871505],[-68.19620186786497,48.57363897430584],[-68.18127527632545,48.58161542605799],[-68.1703055612134,48.59203154498276],[-68.16416727143498,48.60405942772915],[-68.1633521424244,48.61674244347469],[-68.16792898122989,48.629071135062674],[-68.17753696581578,48.64006353617501],[-68.19141327346836,48.6488435230941],[-68.2084531819214,48.65471090634246],[-68.22729805514912,48.657197573001014],[-68.23107300143477,48.65726678522421]]]}"
00000000000000000074,SF1I3,Canada,-14091.890296453974,Intertidal rocky pools,"{""type"":""Polygon"",""coordinates"":[[[-68.23079207806839,48.657231112415786],[-68.24981688566926,48.655438772347736],[-68.2673235278874,48.650204787145654],[-68.28191587180825,48.64194676198831],[-68.29243176297824,48.631323324072554],[-68.29803571928798,48.6191812929591],[-68.29828493755315,48.60648790099269],[-68.29316351663316,48.59425357548422],[-68.28308249453501,48.58345149931951],[-68.26884608005082,48.57494035520569],[-68.2515870925548,48.56939633722886],[-68.23267691645982,48.56725972847988],[-68.21361709681238,48.56870017206469],[-68.19592096910209,48.57360330150402],[-68.18099438810395,48.58157975326304],[-68.17002468074952,48.5919958721944],[-68.16388639532477,48.60402375494504],[-68.1630712669113,48.61670677069119],[-68.16764810250204,48.62903546227591],[-68.17725608031037,48.64002786338215],[-68.19113237815823,48.648807850294226],[-68.20817227456013,48.654675233536814],[-68.227017134454,48.65716190019267],[-68.23079207806839,48.657231112415786]]]}"
